pid,turkid,similarity,item,sd_item_one,sd_item_two,mean_item_one,mean_item_two,sd_focal,sd_other,mean_focal,mean_other,value_id,value
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,13,23
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,14,23
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,15,25
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,16,25
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,17,25
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,18,25
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,19,25
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,20,25
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,21,27
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,22,27
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,23,27
466,A3N7R7P9HP2YB6,Dissimilar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,24,27
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,0,11
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,1,13
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,2,15
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,3,17
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,4,19
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,5,19
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,6,21
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,7,21
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,8,23
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,9,23
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,10,25
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,11,25
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,12,27
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,13,29
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,14,29
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,15,31
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,16,31
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,17,33
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,18,33
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,19,33
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,20,35
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,21,37
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,22,39
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,23,41
208,A2A53C2WMV8L9R,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,24,43
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,0,15
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,1,15
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,2,19
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,3,19
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,4,19
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,5,23
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,6,23
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,7,23
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,8,23
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,9,23
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,10,25
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,11,25
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,12,25
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,13,27
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,14,27
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,15,27
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,16,31
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,17,31
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,18,31
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,19,33
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,20,33
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,21,33
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,22,33
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,23,35
6,AYVRGL5C6EDNI,Similar,item_one,Low,High,23.0,28.0,Low,High,23.0,28.0,24,35
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,0,7
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,1,7
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,2,7
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,3,7
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,4,7
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,5,15
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,6,15
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,7,15
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,8,15
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,9,15
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,10,17
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,11,19
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,12,21
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,13,21
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,14,23
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,15,25
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,16,25
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,17,25
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,18,25
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,19,25
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,20,35
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,21,35
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,22,43
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,23,43
752,A8JXT1N2CITEM,Dissimilar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,24,43
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,0,19
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,1,19
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,2,21
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,3,21
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,4,21
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,5,21
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,6,21
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,7,23
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,8,23
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,9,23
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,10,25
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,11,25
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,12,27
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,13,27
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,14,27
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,15,27
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,16,29
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,17,29
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,18,29
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,19,31
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,20,31
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,21,33
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,22,33
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,23,33
751,A1T83SZBP2DN65,Similar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,24,33
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,0,5
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,1,9
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,2,11
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,3,11
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,4,13
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,5,15
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,6,15
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,7,17
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,8,17
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,9,19
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,10,19
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,11,21
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,12,21
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,13,21
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,14,23
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,15,25
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,16,25
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,17,25
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,18,27
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,19,27
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,20,31
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,21,33
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,22,37
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,23,41
12,AQHMXM5LLEP2N,Similar,item_one,High,High,23.0,28.0,High,High,23.0,28.0,24,43
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,0,11
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,1,11
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,2,15
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,3,15
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,4,19
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,5,19
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,6,19
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,7,19
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,8,21
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,9,21
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,10,23
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,11,23
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,12,23
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,13,25
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,14,25
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,15,25
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,16,25
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,17,25
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,18,31
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,19,31
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,20,31
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,21,33
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,22,33
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,23,35
19,A3TJ3ORKWH4IYW,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,24,35
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,0,19
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,1,19
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,2,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,3,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,4,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,5,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,6,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,7,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,8,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,9,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,10,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,11,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,12,21
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,13,23
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,14,23
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,15,23
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,16,23
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,17,23
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,18,25
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,19,25
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,20,27
107,A1RHTHCLMX3FEE,Dissimilar,item_one,Low,Low,23.0,28.0,Low,Low,23.0,28.0,21,27
