pid,turkid,item,sd_item_one,sd_item_two,mean_item_one,mean_item_two,sd_focal,sd_other,mean_focal,mean_other,value_id,value
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,5,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,6,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,7,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,8,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,9,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,10,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,11,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,12,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,13,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,14,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,15,35
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,16,37
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,17,37
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,18,37
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,19,37
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,20,37
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,21,39
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,22,39
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,23,39
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,24,39
2,A1PAMVTKGCXSWQ,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,25,39
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,0,29
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,1,29
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,2,29
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,3,31
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,4,31
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,5,31
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,6,31
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,7,31
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,8,31
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,9,31
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,10,33
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,11,33
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,12,33
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,13,33
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,14,35
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,15,35
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,16,35
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,17,37
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,18,37
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,19,37
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,20,37
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,21,39
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,22,39
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,23,41
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,24,41
3,A3J3B4MFXVQP8J,item_one,High,High,38.0,12.0,High,High,38.0,12.0,25,41
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,0,27
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,1,27
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,2,27
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,3,27
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,4,27
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,5,29
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,6,29
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,7,29
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,8,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,9,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,10,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,11,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,12,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,13,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,14,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,15,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,16,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,17,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,18,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,19,37
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,20,39
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,21,39
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,22,39
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,23,39
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,24,39
91,AHPQVIEIBZOAS,item_one,High,High,38.0,12.0,High,High,38.0,12.0,25,39
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,0,9
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,1,9
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,2,9
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,3,9
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,4,9
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,5,11
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,6,11
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,7,13
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,8,13
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,9,37
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,10,37
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,11,37
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,12,37
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,13,37
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,14,37
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,15,37
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,16,37
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,17,37
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,18,39
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,19,39
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,20,39
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,21,41
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,22,41
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,23,43
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,24,43
28,A2OZGNW6THEMJ,item_one,Low,Low,38.0,12.0,Low,Low,38.0,12.0,25,43
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,0,3
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,1,3
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,2,5
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,3,5
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,4,11
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,5,11
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,6,15
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,7,15
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,8,23
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,9,23
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,10,25
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,11,25
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,12,27
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,13,27
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,14,35
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,15,35
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,16,37
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,17,37
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,18,37
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,19,37
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,20,37
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,21,37
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,22,37
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,23,37
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,24,41
278,ALL70E83333ZN,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,25,49
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,0,1
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,1,1
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,2,1
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,3,1
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,4,3
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,5,3
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,6,3
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,7,3
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,8,3
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,9,3
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,10,5
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,11,5
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,12,5
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,13,5
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,14,7
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,15,7
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,16,9
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,17,9
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,18,11
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,19,11
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,20,13
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,21,13
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,22,13
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,23,15
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,24,15
15,A1TNUHR39D8TP9,item_one,High,High,38.0,12.0,High,High,38.0,12.0,25,17
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,0,7
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,1,9
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,2,11
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,3,11
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,4,11
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,5,13
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,6,15
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,7,17
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,8,23
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,9,25
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,10,27
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,11,29
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,12,31
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,13,31
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,14,33
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,15,35
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,16,35
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,17,35
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,18,37
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,19,37
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,20,39
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,21,39
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,22,41
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,23,43
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,24,45
165,A253HMJJLXUVMU,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,25,47
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,0,13
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,1,15
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,2,17
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,3,19
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,4,21
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,5,23
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,6,25
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,7,25
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,8,27
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,9,27
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,10,27
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,11,27
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,12,29
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,13,29
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,14,29
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,15,29
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,16,29
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,17,31
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,18,31
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,19,31
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,20,31
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,21,33
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,22,33
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,23,35
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,24,37
291,A1BH6H9WRK49I,item_one,High,High,38.0,12.0,High,High,38.0,12.0,25,39
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,0,9
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,1,9
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,2,9
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,3,9
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,4,9
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,5,11
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,6,11
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,7,11
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,8,11
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,9,13
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,10,13
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,11,13
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,12,13
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,13,31
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,14,33
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,15,33
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,16,33
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,17,33
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,18,33
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,19,35
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,20,35
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,21,35
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,22,39
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,23,39
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,24,39
9,AY7WOX4UCIBU2,item_one,High,Low,38.0,12.0,High,Low,38.0,12.0,25,39
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,0,31
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,1,33
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,2,33
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,3,33
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,4,35
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,5,35
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,6,35
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,7,35
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,8,35
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,9,35
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,10,35
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,11,37
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,12,37
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,13,37
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,14,37
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,15,37
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,16,39
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,17,39
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,18,39
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,19,39
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,20,39
130,A2LV5QYHH24OMY,item_one,Low,High,38.0,12.0,Low,High,38.0,12.0,21,39
