workerid,bid_placed,dispersion,condition,memory_max_bid,above_actual_max,excluded
AJFIMLAWP65TE,41.0,Lower,Lower Dispersion,37.0,False,False
A1W1TGPFM2JCDZ,5.0,Lower,Lower Dispersion,34.0,False,True
A3N2LHCNTHO8VQ,0.0,Higher,Higher Dispersion,37.0,False,False
A1PLHQ0UARV9CM,1.0,Higher,Higher Dispersion,41.0,True,True
APU57AM803MJO,38.0,Lower,Lower Dispersion,37.0,False,True
A3PLWSCPFLCEGI,60.0,Higher,Higher Dispersion,37.0,False,False
A2HRO49652XD33,31.0,Higher,Higher Dispersion,37.0,False,True
A1ENLYKNCDSW2H,1.0,Lower,Lower Dispersion,0.0,False,True
A2EWAI85KZCTSX,38.0,Lower,Lower Dispersion,37.0,False,False
A1FER0AFHP96GC,55.0,Higher,Higher Dispersion,37.0,False,False
A3TL2FF7QI89JZ,60.0,Lower,Lower Dispersion,60.0,True,True
A3A6QZE5TMTTED,50.0,Higher,Higher Dispersion,39.0,True,True
A3U6826D7T7JVB,60.0,Higher,Higher Dispersion,43.0,True,False
AICJ4S27R0MQJ,40.0,Higher,Higher Dispersion,36.0,False,False
A1DD39VFCRWI8G,36.0,Higher,Higher Dispersion,60.0,True,True
A20KCGZNBXWTWV,50.0,Higher,Higher Dispersion,50.0,True,True
A8UJNIY9R8S7W,43.0,Higher,Higher Dispersion,35.0,False,True
A374VVZZ23SD2P,40.0,Higher,Higher Dispersion,37.0,False,True
A2WSDV1VNG49JG,60.0,Lower,Lower Dispersion,56.0,True,True
A1HHRFU7T42HMJ,38.0,Lower,Lower Dispersion,37.0,False,False
A1TSMELBYN9BBA,47.0,Higher,Higher Dispersion,37.0,False,False
A24T2JLRS87XNK,40.0,Higher,Higher Dispersion,37.0,False,True
A1HW978EKNA5IB,60.0,Lower,Lower Dispersion,37.0,False,False
AI5C0GAB46GX4,40.0,Lower,Lower Dispersion,37.0,False,True
ARVNRQDTAFA1Q,37.0,Higher,Higher Dispersion,36.0,False,True
A13Q9QMG1OUD3W,20.0,Higher,Higher Dispersion,25.0,False,True
A1A7KUSFVQZUPX,40.0,Lower,Lower Dispersion,37.0,False,True
A1KSK3LIA889Q7,39.0,Lower,Lower Dispersion,37.0,False,False
A36GED09PUEAJ3,40.0,Lower,Lower Dispersion,50.0,True,True
A3JKSLQVXXO6SF,40.0,Lower,Lower Dispersion,40.0,True,True
A1251G78LIS2M3,40.0,Lower,Lower Dispersion,37.0,False,True
A1SLNALIY43R2B,52.0,Higher,Higher Dispersion,58.0,True,True
A25IIGNY5XETF4,20.0,Higher,Higher Dispersion,35.0,False,False
A071465023D2F8RS5HYMG,40.0,Higher,Higher Dispersion,15.0,False,True
AM2NZYM1ODCK0,51.0,Higher,Higher Dispersion,50.0,True,True
AGZ4MDF3G7BL7,39.0,Higher,Higher Dispersion,37.0,False,False
ASL7RAI80NUN3,40.0,Lower,Lower Dispersion,37.0,False,False
A1R9BZPDJZGMLU,35.0,Lower,Lower Dispersion,37.0,False,True
A2MSJVIM9M9T0L,45.0,Lower,Lower Dispersion,37.0,False,False
A1MBEQJXRP50O,40.0,Lower,Lower Dispersion,37.0,False,False
A1HIKQZSF99PNF,38.0,Higher,Higher Dispersion,37.0,False,False
A3KAQFMEUIWBLH,40.0,Higher,Higher Dispersion,34.0,False,False
A3GHYD28ZZ3IEN,42.0,Lower,Lower Dispersion,37.0,False,False
A285XRQ57CX4HK,50.0,Lower,Lower Dispersion,39.0,True,False
AYW7RNUABDQM0,38.0,Lower,Lower Dispersion,37.0,False,False
A3QG0ZI7X8BQII,51.0,Higher,Higher Dispersion,41.0,True,True
A3NDAZ0RUF62U3,40.0,Lower,Lower Dispersion,37.0,False,True
A3G0HI7L64KCSH,39.0,Lower,Lower Dispersion,37.0,False,True
AZAL6UE0UMY2L,40.0,Lower,Lower Dispersion,36.0,False,False
A2CPPG9U3339TC,50.0,Higher,Higher Dispersion,47.0,True,False
AVT3FMKA0F34Q,35.0,Higher,Higher Dispersion,37.0,False,False
A2X89WKSDUWMES,55.0,Higher,Higher Dispersion,35.0,False,True
A3LL1IZANQMY4B,40.0,Higher,Higher Dispersion,37.0,False,True
A2NSLTS86CXASH,50.0,Higher,Higher Dispersion,37.0,False,True
ALZAJSUSW2GY4,40.0,Lower,Lower Dispersion,37.0,False,True
AGSGUNQUM6127,38.0,Lower,Lower Dispersion,37.0,False,False
A1MRDYDYI78N92,50.0,Lower,Lower Dispersion,37.0,False,False
A2N06EPV26RF6K,60.0,Lower,Lower Dispersion,38.0,True,True
A1Z5LQ804DCO8S,39.0,Higher,Higher Dispersion,37.0,False,True
A1EKC9QZ71U478,42.0,Lower,Lower Dispersion,37.0,False,False
A2ACDEZLWBK48Z,50.0,Higher,Higher Dispersion,47.0,True,True
A7YQ4FO5TQFBE,40.0,Lower,Lower Dispersion,34.0,False,False
A2C2RTM1W48P5B,40.0,Lower,Lower Dispersion,37.0,False,True
A2MLJ1GCLAR1PM,50.0,Higher,Higher Dispersion,43.0,True,False
A1D6UUZIHR1YLZ,38.0,Lower,Lower Dispersion,37.0,False,False
A3LKQWCM1KITOM,50.0,Higher,Higher Dispersion,37.0,False,False
A2V142ED2SBIDT,51.0,Higher,Higher Dispersion,50.0,True,True
A334VSYWWZ8B9W,52.0,Higher,Higher Dispersion,37.0,False,False
AWZRZDJKC7PL1,38.0,Lower,Lower Dispersion,37.0,False,True
AQYX9431UN2IE,40.0,Lower,Lower Dispersion,36.0,False,False
A1QY4AL4BFML8X,42.0,Higher,Higher Dispersion,39.0,True,False
A3R2UTSKM6H22E,50.0,Lower,Lower Dispersion,36.0,False,True
A3JBWO2NL9AOG,40.0,Lower,Lower Dispersion,37.0,False,True
AF3VYX8YI1PTJ,42.0,Higher,Higher Dispersion,37.0,False,False
AJQDZ3WV8YNVO,51.0,Higher,Higher Dispersion,41.0,True,False
A12LUXU4D9TXA5,40.0,Lower,Lower Dispersion,37.0,False,False
AABI42PYKNYLI,35.0,Lower,Lower Dispersion,37.0,False,True
A6MHZ0H6SGH4L,51.0,Higher,Higher Dispersion,37.0,False,False
A1LSFPPDGORPB0,38.0,Higher,Higher Dispersion,36.0,False,True
AZVWH7V65BL5W,50.0,Higher,Higher Dispersion,45.0,True,False
A1EM78CEHL85J5,48.0,Higher,Higher Dispersion,43.0,True,True
A2K0CRET9YKEVZ,40.0,Higher,Higher Dispersion,37.0,False,False
A2GK6FGSQVS29S,39.0,Higher,Higher Dispersion,30.0,False,True
A30FQET445KF16,34.0,Lower,Lower Dispersion,33.0,False,True
A2R2S6NU372T3W,28.0,Higher,Higher Dispersion,36.0,False,True
A1E6F4QKK5XXKO,37.0,Lower,Lower Dispersion,36.0,False,True
A375PI869TTYEU,59.0,Higher,Higher Dispersion,42.0,True,False
A11U1B6RB71MGE,40.0,Higher,Higher Dispersion,36.0,False,False
A1V0HSH4Q63V5W,40.0,Lower,Lower Dispersion,37.0,False,False
A2CQRC0GC0DRVJ,40.0,Higher,Higher Dispersion,42.0,True,False
A3AMBZAY9FDKP7,44.0,Higher,Higher Dispersion,42.0,True,True
A3NPRMMYP6WUPF,40.0,Higher,Higher Dispersion,37.0,False,False
A3KAB63CS1PI20,30.0,Higher,Higher Dispersion,39.0,True,True
A3BLSCWFQRUFW,38.0,Higher,Higher Dispersion,37.0,False,True
A1XHSTLYQMLZK5,39.0,Higher,Higher Dispersion,37.0,False,True
A043490632OO7Y1SYH4KQ,38.0,Lower,Lower Dispersion,37.0,False,False
A7SP53UOLW59M,60.0,Higher,Higher Dispersion,47.0,True,False
A2VXQCXAWNMAE8,38.0,Lower,Lower Dispersion,37.0,False,True
A038061511VYO1E7MOHH1,45.0,Higher,Higher Dispersion,38.0,True,True
AJ9BPB7AB1FQV,40.0,Higher,Higher Dispersion,35.0,False,False
A35OJEB7ZBTBST,60.0,Lower,Lower Dispersion,37.0,False,False
A2507NA0477GGV,40.0,Higher,Higher Dispersion,37.0,False,False
A58242H1XPYYO,58.0,Lower,Lower Dispersion,34.0,False,False
A356L5ROD9B1SW,40.0,Lower,Lower Dispersion,37.0,False,True
A3JZH36CUA2U70,42.0,Higher,Higher Dispersion,37.0,False,False
A1Z2QEEPKEK1X1,60.0,Lower,Lower Dispersion,32.0,False,False
A131XFNQWV2KW,40.0,Lower,Lower Dispersion,37.0,False,True
A59M88BTKVD6E,38.0,Higher,Higher Dispersion,36.0,False,True
AZVWJFL0MVRK2,60.0,Higher,Higher Dispersion,37.0,False,False
A59M88BTKVD6E,38.0,Lower,Lower Dispersion,37.0,False,True
ANS0J426RZ6M9,48.0,Lower,Lower Dispersion,37.0,False,False
A2OD8AGF7TT8QY,35.0,Higher,Higher Dispersion,33.0,False,True
A132ZUH96A11A,33.0,Higher,Higher Dispersion,32.0,False,True
AX4GRD2LFVYG7,37.0,Lower,Lower Dispersion,36.0,False,False
A1WOE0RMND9RQR,40.0,Lower,Lower Dispersion,38.0,True,True
ADVLWU71PC7Q6,50.0,Higher,Higher Dispersion,60.0,True,True
A2ZGZXU4YBYTPI,38.0,Lower,Lower Dispersion,37.0,False,False
ANR2XBZ5WNG2P,39.0,Lower,Lower Dispersion,37.0,False,True
A232YUK4LBHWN5,45.0,Lower,Lower Dispersion,32.0,False,False
AXPXWATBM0V9Z,38.0,Lower,Lower Dispersion,37.0,False,False
AL7YH7OZ99LDF,42.0,Lower,Lower Dispersion,39.0,True,True
A3K5X1ZLTGFNHO,39.0,Higher,Higher Dispersion,37.0,False,True
A13UKZBQ5GH7KF,51.0,Higher,Higher Dispersion,37.0,False,True
A39UCF1PPTTUEV,2.0,Lower,Lower Dispersion,37.0,False,True
A1ATTMEYW02BV0,42.0,Higher,Higher Dispersion,37.0,False,False
A160CDZFHF5LRH,32.0,Lower,Lower Dispersion,37.0,False,True
A3JHTXOI49PKOS,35.0,Higher,Higher Dispersion,28.0,False,True
A2FC4QEPPH4W6U,38.0,Lower,Lower Dispersion,37.0,False,False
A1WZY9GOEE7IAZ,40.0,Lower,Lower Dispersion,37.0,False,False
AK0685GQJ6ABK,45.0,Higher,Higher Dispersion,37.0,False,False
A2OF127W8SCLMQ,51.0,Higher,Higher Dispersion,46.0,True,False
AO6U5FZNBQWQH,38.0,Lower,Lower Dispersion,36.0,False,True
A3CC05LJ1X97KR,47.0,Higher,Higher Dispersion,37.0,False,False
A194HGEXAM64SS,40.0,Higher,Higher Dispersion,48.0,True,True
A3EV42KXWRLMCQ,39.0,Lower,Lower Dispersion,36.0,False,True
A1ZU7B7T0HDHVS,38.0,Higher,Higher Dispersion,37.0,False,False
A2JGL7YNCWGIUE,39.0,Lower,Lower Dispersion,37.0,False,False
A2RYA6861ECLJD,60.0,Higher,Higher Dispersion,37.0,False,True
A141JO6SN3RTJ7,60.0,Higher,Higher Dispersion,47.0,True,True
A1I89AZ9TOH3CV,60.0,Lower,Lower Dispersion,60.0,True,True
A2Y87M8V0N1M6P,38.0,Lower,Lower Dispersion,37.0,False,False
A14STKOGF1QHH0,58.0,Lower,Lower Dispersion,37.0,False,False
A2BSMATEIZN4M6,59.0,Higher,Higher Dispersion,39.0,True,False
A2KG64TREAJML3,45.0,Lower,Lower Dispersion,34.0,False,True
A282DN19TQOWEC,42.0,Higher,Higher Dispersion,41.0,True,False
A3N2KK338GZPOS,39.0,Higher,Higher Dispersion,37.0,False,True
AZ8X313VGHR79,42.0,Lower,Lower Dispersion,37.0,False,False
A3NQ19CVN9CZGZ,49.0,Lower,Lower Dispersion,37.0,False,False
A294GRR07YJWP8,38.0,Higher,Higher Dispersion,37.0,False,False
A3BSCX5Y5IFBN0,60.0,Higher,Higher Dispersion,37.0,False,False
AINCJJNTNUM5R,38.0,Lower,Lower Dispersion,37.0,False,False
A21KN9TH9AN56R,47.0,Higher,Higher Dispersion,46.0,True,False
A2BI1LCI8G7H0B,48.0,Higher,Higher Dispersion,45.0,True,False
A3921GL6SLCAYP,40.0,Higher,Higher Dispersion,36.0,False,False
ATLBVPKSQ8Y3L,40.0,Lower,Lower Dispersion,37.0,False,False
A2P7SXOG3J77NC,1.0,Lower,Lower Dispersion,33.0,False,True
A2RV8VVF054AZ9,38.0,Lower,Lower Dispersion,37.0,False,False
A2TBMZH5NLK8MG,49.0,Higher,Higher Dispersion,47.0,True,True
A2B8SDLDMPK3RL,38.0,Lower,Lower Dispersion,37.0,False,False
AV34M3ASAMUYA,40.0,Lower,Lower Dispersion,34.0,False,True
A3SAHEUR5D7OAE,39.0,Higher,Higher Dispersion,37.0,False,False
A25KAZNRRAHKDU,38.0,Lower,Lower Dispersion,37.0,False,True
AMZW80LIY4F09,58.0,Higher,Higher Dispersion,37.0,False,True
A35L9SMY2KVKHI,40.0,Higher,Higher Dispersion,37.0,False,False
A3IXWFXJC2YKU7,40.0,Higher,Higher Dispersion,37.0,False,False
AUT7OYQSXMKAX,39.0,Lower,Lower Dispersion,37.0,False,True
A19RWC84ML0YJG,39.0,Lower,Lower Dispersion,37.0,False,False
A1KBIPT93HWRRM,40.0,Higher,Higher Dispersion,35.0,False,True
A1WS9UHL45VZ0X,38.0,Higher,Higher Dispersion,37.0,False,False
A2FK3TPOTQVTX5,38.0,Lower,Lower Dispersion,37.0,False,True
AII6DSKO7I990,60.0,Higher,Higher Dispersion,37.0,False,False
A1KLM658JA6W3V,40.0,Lower,Lower Dispersion,37.0,False,False
A2W02HCUCQY5X3,47.0,Lower,Lower Dispersion,37.0,False,True
A2JSMJ64L6SUJU,40.0,Lower,Lower Dispersion,37.0,False,False
A2P7TB2XEQSYZC,40.0,Lower,Lower Dispersion,37.0,False,False
A23GYED7RV36GO,40.0,Higher,Higher Dispersion,37.0,False,False
A1VKRI6HI38XU0,60.0,Lower,Lower Dispersion,44.0,True,False
A945VIZI2JY9,60.0,Higher,Higher Dispersion,54.0,True,True
A1A3E0RQPC6DOS,54.0,Higher,Higher Dispersion,42.0,True,False
AJ7JFYKBG85ZV,48.0,Higher,Higher Dispersion,38.0,True,True
A22EM48ADSYSF4,55.0,Lower,Lower Dispersion,37.0,False,True
A6NDQ4CYNUAXG,40.0,Lower,Lower Dispersion,37.0,False,True
A2G3ZXG7B8J8S9,60.0,Higher,Higher Dispersion,50.0,True,False
A2N8ZD4B8EW882,52.0,Higher,Higher Dispersion,36.0,False,False
A4CO5H9ELU77Q,47.0,Higher,Higher Dispersion,37.0,False,False
A24CVZVLRKKE52,30.0,Lower,Lower Dispersion,37.0,False,True
A3VUWK0ST9QHLZ,37.0,Lower,Lower Dispersion,35.0,False,False
AHVYXIIP3GA95,52.0,Lower,Lower Dispersion,37.0,False,False
AA0Y20XC10NYR,60.0,Higher,Higher Dispersion,37.0,False,False
AQC8PRE2ME1ZG,60.0,Higher,Higher Dispersion,32.0,False,True
A697NAFMKBRHI,60.0,Higher,Higher Dispersion,37.0,False,True
A2TENCUD2NR0YR,38.0,Higher,Higher Dispersion,35.0,False,False
A1OGGQMBX6VI2K,38.0,Lower,Lower Dispersion,37.0,False,False
A23DRJ8XPPTSN6,37.0,Lower,Lower Dispersion,34.0,False,False
A1RDGPR72UW206,60.0,Lower,Lower Dispersion,37.0,False,False
A30TRAB2QZL8NG,39.0,Lower,Lower Dispersion,37.0,False,False
A2Y8BMRF4XOQKL,38.0,Higher,Higher Dispersion,37.0,False,False
A2O6KB2PUAS1YN,37.0,Higher,Higher Dispersion,36.0,False,False
A3GAS6Q89WMARL,50.0,Lower,Lower Dispersion,33.0,False,False
A3QV9JC859554,25.0,Higher,Higher Dispersion,2.0,False,True
A31FQHU8OB1S4N,40.0,Higher,Higher Dispersion,37.0,False,True
A1J77G6PVMRDL9,40.0,Lower,Lower Dispersion,37.0,False,False
A3LYHZ0A939RB9,59.0,Lower,Lower Dispersion,35.0,False,True
A3EC3OP6U52JYC,38.0,Lower,Lower Dispersion,37.0,False,False
A1X8HPN7OIWKJ7,51.0,Higher,Higher Dispersion,50.0,True,False
AM51TURC50L7Q,40.0,Higher,Higher Dispersion,45.0,True,False
A1CEWCFDXW4FDR,52.0,Higher,Higher Dispersion,38.0,True,False
A3MQ0LCBQ2PD02,38.0,Lower,Lower Dispersion,37.0,False,False
A3UU3XX99RJ2O,45.0,Higher,Higher Dispersion,37.0,False,True
A11D5JXW17G48I,44.0,Lower,Lower Dispersion,37.0,False,False
A2NXABER3PFJ68,30.0,Higher,Higher Dispersion,36.0,False,True
A34PP32TID2A4N,42.0,Lower,Lower Dispersion,35.0,False,True
A3USJ3W549HQV9,30.0,Higher,Higher Dispersion,38.0,True,False
AZ431VV258FTJ,60.0,Lower,Lower Dispersion,37.0,False,False
A224EAEEF6Q17H,38.0,Higher,Higher Dispersion,37.0,False,False
A2L68WUX9DHOXI,38.0,Lower,Lower Dispersion,37.0,False,False
A3DUAHX5VT0ZMY,50.0,Higher,Higher Dispersion,36.0,False,False
A3D2VSQSIK6BEP,39.0,Lower,Lower Dispersion,37.0,False,False
A27O7APYUM1NG3,40.0,Lower,Lower Dispersion,37.0,False,False
A36RGW0D4YNG22,39.0,Lower,Lower Dispersion,37.0,False,False
A3V1T42JSDJ7M0,38.0,Lower,Lower Dispersion,37.0,False,False
A1M6H64QMCIKIA,32.0,Lower,Lower Dispersion,37.0,False,True
A1406RT7A3SK91,36.0,Higher,Higher Dispersion,46.0,True,True
A2MJ0X6M3VSFVN,38.0,Lower,Lower Dispersion,37.0,False,False
A114Z7UNN318CA,59.0,Lower,Lower Dispersion,37.0,False,False
A1OP9LIRUYYGKE,40.0,Lower,Lower Dispersion,36.0,False,True
A2X7E2HWAJ6GST,38.0,Higher,Higher Dispersion,37.0,False,True
A2TIL6OVW7ALM,50.0,Lower,Lower Dispersion,34.0,False,False
A3JE7KOBY3G4CJ,33.0,Lower,Lower Dispersion,37.0,False,True
AP31VGNZEFUQW,35.0,Higher,Higher Dispersion,38.0,True,True
A35V4FPN4KQVON,45.0,Lower,Lower Dispersion,37.0,False,False
A36QLBGDZPL9K5,45.0,Higher,Higher Dispersion,37.0,False,False
A3PYT74DUPKM9R,59.0,Lower,Lower Dispersion,35.0,False,False
A2CCZNU82SYRL1,35.0,Lower,Lower Dispersion,35.0,False,True
AFGEDDTGGD8WG,50.0,Higher,Higher Dispersion,60.0,True,True
A903LA4GTXXFE,39.0,Lower,Lower Dispersion,37.0,False,False
A2FZUOKUYAWA4H,55.0,Lower,Lower Dispersion,37.0,False,True
A1D1AJSP1SORD9,47.0,Higher,Higher Dispersion,37.0,False,False
A2S6KJ5XHTLT49,40.0,Higher,Higher Dispersion,36.0,False,False
A3WHHY8QXLKAS,40.0,Lower,Lower Dispersion,35.0,False,True
A2SHW0DG5W7I5Q,60.0,Higher,Higher Dispersion,35.0,False,False
A23KU57O12A4LZ,59.0,Higher,Higher Dispersion,33.0,False,False
AWG2ZQ5ZJKCT5,35.0,Higher,Higher Dispersion,38.0,True,True
A1IP6NVDQ0OCY,46.0,Lower,Lower Dispersion,37.0,False,False
A327V3O9AACBZ0,60.0,Lower,Lower Dispersion,37.0,False,True
A2RHRRDB25H38H,50.0,Higher,Higher Dispersion,5.0,False,True
A22H2NWK41FHQ6,60.0,Higher,Higher Dispersion,50.0,True,False
A2ZRWN2IRCQ3SZ,48.0,Lower,Lower Dispersion,37.0,False,False
ATE5GHAXMPTOT,40.0,Lower,Lower Dispersion,37.0,False,False
A16TLKEITN5IPR,28.0,Higher,Higher Dispersion,47.0,True,True
A2QFL6NIYNPA7D,45.0,Higher,Higher Dispersion,37.0,False,False
A1NSI8SYE5ICQI,47.0,Higher,Higher Dispersion,43.0,True,False
AE298K1SUDSPK,42.0,Lower,Lower Dispersion,37.0,False,False
A2ASBOP6RG352M,40.0,Higher,Higher Dispersion,37.0,False,True
A3F5U3W9IMFT10,40.0,Higher,Higher Dispersion,37.0,False,False
AAG31WP6P4X15,60.0,Higher,Higher Dispersion,45.0,True,True
A2NMKY6XAT8HNV,40.0,Higher,Higher Dispersion,37.0,False,False
A10S54RM47RZ8N,50.0,Lower,Lower Dispersion,37.0,False,False
A30OZZ8V2W0NQA,32.0,Lower,Lower Dispersion,35.0,False,True
AUEREZF9266BK,58.0,Higher,Higher Dispersion,42.0,True,True
A3HCS5KNH5A7KQ,38.0,Higher,Higher Dispersion,37.0,False,False
A3NAM87GNSYB7H,40.0,Higher,Higher Dispersion,37.0,False,False
A2Y6K5DW6G7H0T,39.0,Higher,Higher Dispersion,38.0,True,True
AJJWU54GXPDVX,40.0,Lower,Lower Dispersion,37.0,False,False
A1RB7Z3S354W0X,60.0,Lower,Lower Dispersion,37.0,False,False
A17F0OK1JNZ1L0,46.0,Higher,Higher Dispersion,38.0,True,False
A298M5GO0AG1WW,0.0,Higher,Higher Dispersion,40.0,True,False
AA3184TCQ9H4R,60.0,Higher,Higher Dispersion,50.0,True,True
AWFQF8GIT9DLQ,36.0,Higher,Higher Dispersion,35.0,False,False
A2AE9E1ATCKVGG,40.0,Lower,Lower Dispersion,37.0,False,False
A2RLP66DQRDPGD,38.0,Higher,Higher Dispersion,36.0,False,False
A1T9DIHRO0PFXS,45.0,Higher,Higher Dispersion,37.0,False,False
A1IWCF01F4JMMW,38.0,Lower,Lower Dispersion,37.0,False,False
A2ZRDT3M9ALLTU,55.0,Higher,Higher Dispersion,37.0,False,False
AE26QX1XH7KYX,60.0,Higher,Higher Dispersion,37.0,False,True
A2TGHPIJ98QSKJ,48.0,Lower,Lower Dispersion,37.0,False,False
A3I5QOQIT6MZ8Y,60.0,Higher,Higher Dispersion,37.0,False,True
AHKLX366FOL0V,38.0,Higher,Higher Dispersion,37.0,False,True
AOOPW1P62ZSR6,38.0,Lower,Lower Dispersion,36.0,False,True
A2347ZAOML9WO0,40.0,Higher,Higher Dispersion,37.0,False,False
A1CT1I55RS6YV0,38.0,Lower,Lower Dispersion,37.0,False,False
A2UGP2H2Q1GD8L,60.0,Higher,Higher Dispersion,37.0,False,False
A17PLZB0NQQJ1K,40.0,Lower,Lower Dispersion,37.0,False,False
AJC7ZTR53JMH3,42.0,Lower,Lower Dispersion,34.0,False,False
A2M4Z1S3K38NQD,60.0,Lower,Lower Dispersion,60.0,True,True
A2PQMJ48ICRUCF,40.0,Higher,Higher Dispersion,37.0,False,True
AQKDAL5ATUZB3,53.0,Higher,Higher Dispersion,50.0,True,True
A1UWWHDQRSBMM8,41.0,Lower,Lower Dispersion,37.0,False,False
A2TOA704O1ML6A,60.0,Lower,Lower Dispersion,37.0,False,False
A2LMOLM5WPUSGL,60.0,Lower,Lower Dispersion,37.0,False,True
ACZTRE28KO3XF,39.0,Lower,Lower Dispersion,37.0,False,False
A1M28NTUVKQS4F,50.0,Higher,Higher Dispersion,38.0,True,False
A1L4SVWZY1I2JK,54.0,Higher,Higher Dispersion,37.0,False,False
A1YVDI67M8KZHI,42.0,Higher,Higher Dispersion,39.0,True,True
A2SLLV1I17REK,38.0,Lower,Lower Dispersion,36.0,False,True
